DigiStore24 Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Status
D21052003 - Glyco Pulse ,Diabetes,RC - Glyco Pulse (6 + 2 Bottles),8,"$294,00",SMS Recovery,https://getglycopulse.com/sms-ds24/,https://www.checkout-ds24.com/product/685067,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,RC - Glyco Pulse (3 + 1 Bottles),4,"$207,00",SMS Recovery,https://getglycopulse.com/sms-ds24/,https://www.checkout-ds24.com/product/685065,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,RC - Glyco Pulse (2 + 1 Bottles),3,"$158,00",SMS Recovery,https://getglycopulse.com/sms-ds24/,https://www.checkout-ds24.com/product/684743,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,UP2 - Glyco Pulse (3 Bottles),3,"$66,00",Upsell 2,https://getglycopulse.com/new-up2/,https://www.checkout-ds24.com/product/667692,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,UP1 - Glyco Pulse (6 Bottles),6,"$234,00",Upsell 1,https://getglycopulse.com/new-up1,https://www.checkout-ds24.com/product/667691,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,M3 - Glyco Pulse (6 Bottles),6,"$294,00",Front-End,https://getglycopulse.com/front-ds24/,https://www.checkout-ds24.com/product/667690,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,M2 - Glyco Pulse (3 Bottles),3,"$207,00",Front-End,https://getglycopulse.com/front-ds24/,https://www.checkout-ds24.com/product/667689,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
D21052003 - Glyco Pulse ,Diabetes,M1 - Glyco Pulse (2 Bottles),2,"$158,00",Front-End,https://getglycopulse.com/front-ds24/,https://www.checkout-ds24.com/product/667688,https://getglycopulse.com/thanks-sh/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Ativo
,,,,,,,,,,
D21052003 - MaxVitalize,ED,UP1-vsnova - MaxVitalize (9 Bottles),9,"$351,00",Upsell 1,https://getmaxvitalize.com/up01-ds24/,https://www.checkout-ds24.com/product/686060,getmaxvitalize.com/thanks-ds24,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj ,Ativo
D21052003 - MaxVitalize,ED,UP1-vsnova2 - MaxVitalize (6 Bottles),6,"$174,00",Upsell 1,https://getmaxvitalize.com/up01-ds24-kit2/,https://www.checkout-ds24.com/product/685264,getmaxvitalize.com/thanks-ds24,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj ,Ativo
D21052003 - MaxVitalize,ED,UP1-vsnova2 - MaxVitalize (2 Bottles),2,"$98,00",Upsell 1,https://getmaxvitalize.com/up01-ds24-kit2/,https://www.checkout-ds24.com/product/685261,getmaxvitalize.com/thanks-ds24,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj ,Ativo
