"Date";"Order ID";"Transaction ID";"Payout report ID";"Payout number";"Position";"Currency";"Payout amount";"Open receivable";"Commission type";"Commission paid to";"Payout on";"Purchase vendor";"Purchase affiliate";"Product ID";"Product name";"Reason";"Voucher";"Sales team";"Commission allocated to";"Purchase created by";"Reseller";
"05/13/2026";"QC9VHNDL";"117063017";"";"";"";"USD";"1.74";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"7YLE2QE61";"117062986";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"2FDPT42A1";"117062943";"";"";"";"USD";"-32.10";"0.00";"vendor reserve";"D21052003";"05/14/2026";"D21052003";"adsmkt9";"682715";"UP1 - Thermo Burn Pro (9 Bottles)";"Supplements - for slimming";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"L63CMHXX";"117062882";"";"";"";"USD";"1.75";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"R9K76KPL";"117062348";"";"";"";"USD";"3.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"UNYXGROUP";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"4YS3TYDS";"117062011";"";"";"";"USD";"4.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"fialhoca";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"CNPWHNV41";"117059903";"";"";"";"USD";"13.09";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"XD4ZHVL93";"117059784";"";"";"";"USD";"15.28";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"688490";"UP3 - Flex-ImmuneGuard (3 + 3 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"XD4ZHVL92";"117059756";"";"";"";"USD";"15.92";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"XD4ZHVL91";"117059732";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"thiagosale";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"NHRQXLYT2";"117059521";"";"";"";"USD";"15.83";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"NHRQXLYT1";"117059493";"";"";"";"USD";"13.08";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"W43ZW4JA3";"117059319";"";"";"";"USD";"15.17";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"688490";"UP3 - Flex-ImmuneGuard (3 + 3 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/13/2026";"W43ZW4JA2";"117059279";"";"";"";"USD";"15.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"coralsprings";"688488";"UP2 - NightCalm (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
